self.yaw: -2.3119821548461914
self.home: array('f', [-1.267073392868042, 6.374765396118164, 2.511545419692993])
shift: [0. 0. 0.]
apriltag bezier - count : 406,   delta_t : 38,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96425623  6.37574482 -6.11088133]
apriltag bezier - count : 406,   delta_t : 39,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96394759  6.37554789 -6.09633112]
apriltag bezier - count : 406,   delta_t : 40,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96337676  6.37511301 -6.07423496]
apriltag bezier - count : 406,   delta_t : 41,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9632504   6.37493181 -6.06693649]
apriltag bezier - count : 406,   delta_t : 42,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9630909   6.37443542 -6.04487562]
apriltag bezier - count : 406,   delta_t : 43,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96304321  6.37434673 -6.03745317]
apriltag bezier - count : 406,   delta_t : 44,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96290559  6.3741374  -6.02255726]
apriltag bezier - count : 406,   delta_t : 45,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96265048  6.37395763 -6.00762033]
apriltag bezier - count : 406,   delta_t : 46,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96245033  6.3737998  -5.99263096]
apriltag bezier - count : 406,   delta_t : 47,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96240848  6.37368441 -5.9699111 ]
apriltag bezier - count : 406,   delta_t : 48,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96241844  6.37349701 -5.95474148]
apriltag bezier - count : 406,   delta_t : 49,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96234947  6.37329483 -5.94700718]
apriltag bezier - count : 406,   delta_t : 50,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9623425   6.3727293  -5.93154907]
apriltag bezier - count : 406,   delta_t : 51,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96234632  6.37253761 -5.92379522]
apriltag bezier - count : 386,   delta_t : 1,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96259487  6.37184048 -5.90047026]
apriltag bezier - count : 386,   delta_t : 2,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96295071  6.37108231 -5.87661076]
apriltag bezier - count : 386,   delta_t : 3,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96309358  6.37062311 -5.86029625]
apriltag bezier - count : 386,   delta_t : 4,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96313071  6.37048101 -5.85204887]
apriltag bezier - count : 386,   delta_t : 5,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96330965  6.36983681 -5.82717848]
apriltag bezier - count : 386,   delta_t : 6,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96352661  6.36927032 -5.81082773]
apriltag bezier - count : 386,   delta_t : 7,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96368223  6.36901236 -5.80275774]
apriltag bezier - count : 386,   delta_t : 8,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96389687  6.36837053 -5.78678131]
apriltag bezier - count : 386,   delta_t : 9,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96406883  6.36772108 -5.7709074 ]
apriltag bezier - count : 386,   delta_t : 10,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96406883  6.36772108 -5.7709074 ]
apriltag bezier - count : 386,   delta_t : 11,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96484971  6.36557388 -5.73259735]
apriltag bezier - count : 386,   delta_t : 12,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.9650805   6.36460829 -5.71752405]
apriltag bezier - count : 386,   delta_t : 13,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96520537  6.3636384  -5.70239687]
apriltag bezier - count : 386,   delta_t : 14,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96523249  6.36321115 -5.69480562]
apriltag bezier - count : 386,   delta_t : 15,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96525347  6.36241293 -5.67960119]
apriltag bezier - count : 386,   delta_t : 16,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96547139  6.36137581 -5.65702057]
apriltag bezier - count : 386,   delta_t : 17,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96571022  6.36072874 -5.64198446]
apriltag bezier - count : 386,   delta_t : 18,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96565741  6.3603611  -5.63430166]
apriltag bezier - count : 386,   delta_t : 19,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96575063  6.35963297 -5.61895084]
apriltag bezier - count : 386,   delta_t : 20,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96589237  6.35885811 -5.60350466]
apriltag bezier - count : 386,   delta_t : 21,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96599209  6.35806608 -5.5879879 ]
apriltag bezier - count : 386,   delta_t : 22,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.9663704   6.35701942 -5.56469727]
apriltag bezier - count : 386,   delta_t : 23,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96655041  6.35672235 -5.55691862]
apriltag bezier - count : 386,   delta_t : 24,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96668404  6.35621977 -5.54116583]
apriltag bezier - count : 386,   delta_t : 25,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96722543  6.35535049 -5.51751661]
apriltag bezier - count : 386,   delta_t : 26,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96767217  6.35465336 -5.50162888]
apriltag bezier - count : 386,   delta_t : 27,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96814173  6.3540225  -5.48569727]
apriltag bezier - count : 386,   delta_t : 28,   xf : [-1.4351238   6.66692209  1.79126012],   vehicle_position : [-0.96839446  6.35358143 -5.47764921]
