self.yaw: 1.146788239479065
self.home: array('f', [-6.515322208404541, 138.92196655273438, -48.82647705078125])
shift: [0. 0. 0.]
apriltag bezier - count : 889,   delta_t : 41,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.0171175  -1.77981818 -6.27501631]
apriltag bezier - count : 889,   delta_t : 42,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.01263797 -1.77757561 -6.27351522]
apriltag bezier - count : 889,   delta_t : 43,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.99911213 -1.77086949 -6.26908398]
apriltag bezier - count : 889,   delta_t : 44,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.99002755 -1.76640952 -6.26613998]
apriltag bezier - count : 889,   delta_t : 45,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.97735363 -1.75816751 -6.26184368]
apriltag bezier - count : 889,   delta_t : 46,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.96879268 -1.75272775 -6.25885105]
apriltag bezier - count : 889,   delta_t : 47,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.95582098 -1.74464285 -6.25410557]
apriltag bezier - count : 889,   delta_t : 48,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.947092   -1.73930621 -6.25075674]
apriltag bezier - count : 889,   delta_t : 49,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.93830228 -1.73400438 -6.24725342]
apriltag bezier - count : 889,   delta_t : 50,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.92500478 -1.72612286 -6.24170303]
apriltag bezier - count : 823,   delta_t : 1,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.91156489 -1.7183193  -6.23579693]
apriltag bezier - count : 823,   delta_t : 2,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.90254831 -1.71314776 -6.23167324]
apriltag bezier - count : 823,   delta_t : 3,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.88892388 -1.70547068 -6.22524977]
apriltag bezier - count : 823,   delta_t : 4,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.87977642 -1.70040262 -6.22081661]
apriltag bezier - count : 823,   delta_t : 5,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.86621743 -1.69193089 -6.21543789]
apriltag bezier - count : 823,   delta_t : 6,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.85717994 -1.68606925 -6.2120738 ]
apriltag bezier - count : 823,   delta_t : 7,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.84350705 -1.67742777 -6.20649242]
apriltag bezier - count : 823,   delta_t : 8,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.83435583 -1.67182302 -6.20253754]
apriltag bezier - count : 823,   delta_t : 9,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.82060617 -1.66370916 -6.19645452]
apriltag bezier - count : 823,   delta_t : 10,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.8114363  -1.65849102 -6.19229555]
apriltag bezier - count : 823,   delta_t : 11,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.80225897 -1.65341282 -6.18804932]
apriltag bezier - count : 823,   delta_t : 12,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.78847969 -1.64605296 -6.18152809]
apriltag bezier - count : 823,   delta_t : 13,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.77470398 -1.63900661 -6.17481375]
apriltag bezier - count : 823,   delta_t : 14,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.76553792 -1.63447928 -6.17023325]
apriltag bezier - count : 823,   delta_t : 15,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.75637478 -1.63009393 -6.16555691]
apriltag bezier - count : 823,   delta_t : 16,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.74355668 -1.62243092 -6.16044092]
apriltag bezier - count : 823,   delta_t : 17,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.73071885 -1.61510122 -6.15493441]
apriltag bezier - count : 823,   delta_t : 18,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.72214228 -1.6104027  -6.15103102]
apriltag bezier - count : 823,   delta_t : 19,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.71356624 -1.60583854 -6.14693785]
apriltag bezier - count : 823,   delta_t : 20,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.70071256 -1.59921706 -6.14049387]
apriltag bezier - count : 823,   delta_t : 21,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.68788761 -1.59287453 -6.13369179]
apriltag bezier - count : 823,   delta_t : 22,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.67934608 -1.58879733 -6.12895584]
apriltag bezier - count : 823,   delta_t : 23,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.66652822 -1.58289289 -6.12158203]
apriltag bezier - count : 823,   delta_t : 24,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.65799052 -1.57909369 -6.11649704]
apriltag bezier - count : 823,   delta_t : 25,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.64946347 -1.57539976 -6.11128759]
apriltag bezier - count : 823,   delta_t : 26,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.63634247 -1.56882834 -6.10472202]
apriltag bezier - count : 823,   delta_t : 27,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.62752265 -1.56420231 -6.1006012 ]
apriltag bezier - count : 823,   delta_t : 28,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.61433572 -1.55753934 -6.09405327]
apriltag bezier - count : 823,   delta_t : 29,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.60120046 -1.55120325 -6.08710861]
apriltag bezier - count : 823,   delta_t : 30,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.59248298 -1.54714799 -6.08226109]
apriltag bezier - count : 823,   delta_t : 31,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 0.57945448 -1.54131162 -6.07469511]
