self.yaw: 1.6196491718292236
self.home: array('f', [-0.005611014552414417, -0.0011992281069979072, 0.3003987669944763])
apriltag bezier - count : 818,   delta_t : 22,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.1866726  -0.02109709 -7.29275751]
apriltag bezier - count : 818,   delta_t : 23,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.18860476 -0.02045501 -7.28590536]
apriltag bezier - count : 818,   delta_t : 24,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.19036894 -0.01991875 -7.2788496 ]
apriltag bezier - count : 818,   delta_t : 25,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.19676191 -0.01663348 -7.27188301]
apriltag bezier - count : 818,   delta_t : 26,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.20455234 -0.01243073 -7.26616526]
apriltag bezier - count : 818,   delta_t : 27,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.20940506 -0.00987639 -7.26203012]
apriltag bezier - count : 818,   delta_t : 28,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.16209963e-01 -6.40386250e-03 -7.25541353e+00]
apriltag bezier - count : 818,   delta_t : 29,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.20444262e-01 -4.31616511e-03 -7.25077057e+00]
apriltag bezier - count : 818,   delta_t : 30,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.26364583e-01 -1.51511829e-03 -7.24344778e+00]
apriltag bezier - count : 818,   delta_t : 31,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.30041355e-01  1.24624348e-04 -7.23829603e+00]
apriltag bezier - count : 818,   delta_t : 32,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.35163733e-01  2.25295965e-03 -7.23013926e+00]
apriltag bezier - count : 818,   delta_t : 33,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.38341704e-01  3.46159609e-03 -7.22442341e+00]
apriltag bezier - count : 818,   delta_t : 34,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.42748260e-01  4.95129358e-03 -7.21544981e+00]
apriltag bezier - count : 818,   delta_t : 35,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-2.47715712e-01  7.15325307e-03 -7.21118546e+00]
apriltag bezier - count : 818,   delta_t : 36,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.25464249  0.01052588 -7.20854235]
apriltag bezier - count : 818,   delta_t : 37,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.2643894   0.01510623 -7.20386219]
apriltag bezier - count : 818,   delta_t : 38,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.27340811  0.01912794 -7.19834518]
apriltag bezier - count : 818,   delta_t : 39,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.27904952  0.02149334 -7.19423246]
apriltag bezier - count : 818,   delta_t : 40,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.28440362  0.02361979 -7.1897788 ]
apriltag bezier - count : 818,   delta_t : 41,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.29191273  0.02637258 -7.18248224]
apriltag bezier - count : 818,   delta_t : 42,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.2988399   0.0286243  -7.17448759]
apriltag bezier - count : 818,   delta_t : 43,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.30314589  0.02986533 -7.16878796]
apriltag bezier - count : 818,   delta_t : 44,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.30722144  0.03090118 -7.16276884]
apriltag bezier - count : 818,   delta_t : 45,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.3128942   0.03206982 -7.15323496]
apriltag bezier - count : 818,   delta_t : 46,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.32417813  0.03732406 -7.14850664]
apriltag bezier - count : 818,   delta_t : 47,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.33123136  0.04045607 -7.14485216]
apriltag bezier - count : 818,   delta_t : 48,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.34114721  0.04461271 -7.13866615]
apriltag bezier - count : 818,   delta_t : 49,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.34734449  0.04702953 -7.13409567]
apriltag bezier - count : 818,   delta_t : 50,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.35321835  0.04917425 -7.12915373]
apriltag bezier - count : 808,   delta_t : 1,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.36141747  0.0518971  -7.12116909]
apriltag bezier - count : 808,   delta_t : 2,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.36883551  0.05400107 -7.11265993]
apriltag bezier - count : 808,   delta_t : 3,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.37335467  0.05505707 -7.10671806]
apriltag bezier - count : 808,   delta_t : 4,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.37950438  0.05615107 -7.09748936]
apriltag bezier - count : 808,   delta_t : 5,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.383196    0.05657761 -7.09131432]
apriltag bezier - count : 808,   delta_t : 6,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.39246476  0.05986682 -7.08587456]
apriltag bezier - count : 808,   delta_t : 7,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.39952144  0.06268887 -7.08339787]
apriltag bezier - count : 808,   delta_t : 8,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.40922901  0.06632244 -7.07947063]
apriltag bezier - count : 808,   delta_t : 9,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.41514936  0.06837665 -7.07666159]
apriltag bezier - count : 808,   delta_t : 10,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.4232679   0.07096045 -7.07209253]
apriltag bezier - count : 808,   delta_t : 11,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.42820531  0.07237001 -7.06877041]
apriltag bezier - count : 808,   delta_t : 12,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.43279338  0.07354201 -7.06520033]
apriltag bezier - count : 808,   delta_t : 13,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.43904072  0.07489441 -7.05934715]
apriltag bezier - count : 808,   delta_t : 14,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.44280568  0.07553299 -7.05509424]
apriltag bezier - count : 808,   delta_t : 15,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.44788408  0.0761441  -7.04820824]
apriltag bezier - count : 808,   delta_t : 16,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.45449039  0.07798813 -7.04233599]
apriltag bezier - count : 808,   delta_t : 17,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.46133894  0.0810786  -7.04013824]
apriltag bezier - count : 808,   delta_t : 18,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.47083545  0.08519565 -7.03604364]
apriltag bezier - count : 808,   delta_t : 19,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.4766618   0.08761673 -7.03283548]
apriltag bezier - count : 808,   delta_t : 20,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.48468748  0.09077636 -7.02733564]
apriltag bezier - count : 808,   delta_t : 21,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.48718601  0.09170834 -7.02531719]
apriltag bezier - count : 808,   delta_t : 22,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.49191955  0.09339356 -7.02102852]
apriltag bezier - count : 808,   delta_t : 23,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.49839175  0.0954987  -7.01400566]
apriltag bezier - count : 808,   delta_t : 24,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.50589424  0.09752737 -7.00352573]
apriltag bezier - count : 808,   delta_t : 25,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.50916743  0.09821669 -6.99785614]
apriltag bezier - count : 808,   delta_t : 26,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.51353437  0.09890077 -6.98884583]
apriltag bezier - count : 808,   delta_t : 27,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.51611239  0.09914699 -6.98248148]
apriltag bezier - count : 808,   delta_t : 28,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.51843411  0.09922525 -6.97585201]
apriltag bezier - count : 808,   delta_t : 29,   xf : [-1.158355   -1.52471972  0.52606171],   vehicle_position : [-0.52143347  0.09902575 -6.96540833]
