self.yaw: -3.1401572227478027
self.home: array('f', [-0.29942286014556885, 0.6769797205924988, -12.380651473999023])
apriltag bezier - count : 582,   delta_t : 3,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.33941478   0.63082916 -21.13523102]
apriltag bezier - count : 582,   delta_t : 4,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.33750391   0.63017786 -21.1199913 ]
apriltag bezier - count : 582,   delta_t : 5,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.33552      0.62964368 -21.10512352]
apriltag bezier - count : 582,   delta_t : 6,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.33343989   0.62909913 -21.09056854]
apriltag bezier - count : 582,   delta_t : 7,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.33147874   0.62854701 -21.07631302]
apriltag bezier - count : 582,   delta_t : 8,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.32941684   0.62805498 -21.06241989]
apriltag bezier - count : 582,   delta_t : 9,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.32838574   0.62769008 -21.05520439]
apriltag bezier - count : 582,   delta_t : 10,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.32532275   0.62666225 -21.03382874]
apriltag bezier - count : 582,   delta_t : 11,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.3232947    0.62613475 -21.019907  ]
apriltag bezier - count : 582,   delta_t : 12,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.32124403   0.62549514 -21.00595284]
apriltag bezier - count : 582,   delta_t : 13,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.3191686    0.62461847 -20.99166298]
apriltag bezier - count : 582,   delta_t : 14,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.31712952   0.62378055 -20.97706032]
apriltag bezier - count : 582,   delta_t : 15,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.31512964   0.62281364 -20.96242523]
apriltag bezier - count : 582,   delta_t : 16,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.31329277   0.62182951 -20.94779587]
apriltag bezier - count : 582,   delta_t : 17,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.31138971   0.62092233 -20.93346024]
apriltag bezier - count : 582,   delta_t : 18,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.30911112   0.61989647 -20.91880035]
apriltag bezier - count : 582,   delta_t : 19,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.3080107    0.61936814 -20.91132164]
apriltag bezier - count : 582,   delta_t : 20,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.30449367   0.61775726 -20.88907242]
apriltag bezier - count : 582,   delta_t : 21,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.30325472   0.61721408 -20.88165855]
apriltag bezier - count : 582,   delta_t : 22,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.29989171   0.61564648 -20.85924339]
