self.yaw: -3.0998754501342773
self.home: array('f', [3.942152738571167, -2.698303461074829, 1.8055087327957153])
apriltag bezier - count : 371,   delta_t : 3,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96416068 -2.75277424 -6.71089602]
apriltag bezier - count : 371,   delta_t : 4,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96464872 -2.75234747 -6.70314121]
apriltag bezier - count : 371,   delta_t : 5,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.9660275  -2.75099802 -6.68004704]
apriltag bezier - count : 371,   delta_t : 6,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96691346 -2.75016975 -6.66491318]
apriltag bezier - count : 371,   delta_t : 7,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96798635 -2.74927378 -6.64970112]
apriltag bezier - count : 371,   delta_t : 8,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96921754 -2.74832058 -6.63411665]
apriltag bezier - count : 371,   delta_t : 9,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97037244 -2.74733853 -6.61899614]
apriltag bezier - count : 371,   delta_t : 10,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97150683 -2.74626279 -6.60428762]
apriltag bezier - count : 371,   delta_t : 11,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97257638 -2.7452147  -6.58970404]
apriltag bezier - count : 371,   delta_t : 12,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97373295 -2.74424505 -6.575109  ]
apriltag bezier - count : 371,   delta_t : 13,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97491813 -2.74318743 -6.5603857 ]
apriltag bezier - count : 371,   delta_t : 14,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97615981 -2.74219251 -6.54576874]
apriltag bezier - count : 371,   delta_t : 15,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97724152 -2.74141669 -6.53133488]
apriltag bezier - count : 371,   delta_t : 16,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97819471 -2.74052787 -6.51697493]
apriltag bezier - count : 371,   delta_t : 17,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.97930384 -2.73955107 -6.50261116]
apriltag bezier - count : 371,   delta_t : 18,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98034453 -2.73835421 -6.48763752]
apriltag bezier - count : 371,   delta_t : 19,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.9812057  -2.73725748 -6.47280931]
apriltag bezier - count : 371,   delta_t : 20,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98168683 -2.73678303 -6.46547413]
apriltag bezier - count : 371,   delta_t : 21,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98297977 -2.73518515 -6.44322586]
apriltag bezier - count : 371,   delta_t : 22,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98341322 -2.73455763 -6.43575335]
apriltag bezier - count : 371,   delta_t : 23,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98474383 -2.73330331 -6.41298771]
apriltag bezier - count : 371,   delta_t : 24,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98541236 -2.73254108 -6.39770699]
apriltag bezier - count : 371,   delta_t : 25,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.9861269  -2.73168015 -6.38228369]
apriltag bezier - count : 371,   delta_t : 26,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98702192 -2.73101068 -6.36696577]
apriltag bezier - count : 371,   delta_t : 27,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98781013 -2.73036456 -6.3517766 ]
apriltag bezier - count : 371,   delta_t : 28,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98844695 -2.72972822 -6.33655071]
apriltag bezier - count : 371,   delta_t : 29,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.98908639 -2.72902131 -6.32058907]
apriltag bezier - count : 371,   delta_t : 30,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.9898262  -2.72819281 -6.30477095]
apriltag bezier - count : 371,   delta_t : 31,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.9904809  -2.72743368 -6.28886938]
apriltag bezier - count : 371,   delta_t : 32,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99120188 -2.7267499  -6.27301502]
apriltag bezier - count : 371,   delta_t : 33,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99258852 -2.72625136 -6.25682259]
apriltag bezier - count : 371,   delta_t : 34,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99378657 -2.72590542 -6.24053049]
apriltag bezier - count : 371,   delta_t : 35,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99489665 -2.72553539 -6.22434807]
apriltag bezier - count : 371,   delta_t : 36,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99548912 -2.72529793 -6.21616936]
apriltag bezier - count : 371,   delta_t : 37,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.9972558  -2.72449183 -6.19145441]
apriltag bezier - count : 371,   delta_t : 38,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99795699 -2.723737   -6.17460728]
apriltag bezier - count : 371,   delta_t : 39,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99876595 -2.72310185 -6.15776825]
apriltag bezier - count : 371,   delta_t : 40,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.99968815 -2.72260594 -6.14108276]
apriltag bezier - count : 371,   delta_t : 41,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 4.00056648 -2.72222996 -6.12478828]
apriltag bezier - count : 371,   delta_t : 42,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 4.00134373 -2.72192931 -6.10849857]
apriltag bezier - count : 371,   delta_t : 43,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 4.00237322 -2.7218082  -6.09162855]
apriltag bezier - count : 371,   delta_t : 44,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 4.00335789 -2.72161722 -6.07471275]
apriltag bezier - count : 371,   delta_t : 45,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 4.00439978 -2.72136784 -6.05763054]
apriltag bezier - count : 371,   delta_t : 46,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 4.00505066 -2.72128391 -6.0490942 ]
