self.yaw: 0.7612762451171875
self.home: array('f', [-2.024801015853882, -0.8822138905525208, -3.898160934448242])
apriltag bezier - count : 667,   delta_t : 11,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.70330858 -0.1991307  -7.03307724]
apriltag bezier - count : 667,   delta_t : 12,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.70811653 -0.20671953 -7.02383232]
apriltag bezier - count : 667,   delta_t : 13,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.71284246 -0.21441646 -7.01452112]
apriltag bezier - count : 667,   delta_t : 14,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.72029257 -0.22498158 -6.99817657]
apriltag bezier - count : 667,   delta_t : 15,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.72580481 -0.23063852 -6.98424578]
apriltag bezier - count : 667,   delta_t : 16,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.73386097 -0.2394214  -6.96392393]
apriltag bezier - count : 667,   delta_t : 17,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74164915 -0.24852061 -6.9444294 ]
apriltag bezier - count : 667,   delta_t : 18,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74669123 -0.25473359 -6.93196011]
apriltag bezier - count : 667,   delta_t : 19,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74669123 -0.25473359 -6.93196011]
apriltag bezier - count : 667,   delta_t : 20,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74669123 -0.25473359 -6.93196011]
apriltag bezier - count : 667,   delta_t : 21,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74669123 -0.25473359 -6.93196011]
apriltag bezier - count : 667,   delta_t : 22,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74669123 -0.25473359 -6.93196011]
apriltag bezier - count : 667,   delta_t : 23,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.74669123 -0.25473359 -6.93196011]
apriltag bezier - count : 667,   delta_t : 24,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.75403452 -0.26422295 -6.91397524]
apriltag bezier - count : 667,   delta_t : 25,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.75879288 -0.2706455  -6.90256262]
apriltag bezier - count : 667,   delta_t : 26,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.76573038 -0.28041163 -6.88618994]
apriltag bezier - count : 667,   delta_t : 27,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.77022696 -0.28700271 -6.87567234]
