self.yaw: 3.046074867248535
self.home: array('f', [-0.4219454228878021, 2.5425403118133545, 3.854236364364624])
apriltag bezier - count : 415,   delta_t : 49,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.03661039  2.76935506 -5.21797228]
apriltag bezier - count : 415,   delta_t : 50,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.03131393  2.76880431 -5.19765472]
apriltag bezier - count : 396,   delta_t : 1,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.02790208  2.76834297 -5.18418455]
apriltag bezier - count : 396,   delta_t : 2,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.02431378  2.76777887 -5.1707921 ]
apriltag bezier - count : 396,   delta_t : 3,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.02053398  2.76739168 -5.15744066]
apriltag bezier - count : 396,   delta_t : 4,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.01685185  2.7670207  -5.14424229]
apriltag bezier - count : 396,   delta_t : 5,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.01304585  2.7665298  -5.13095427]
apriltag bezier - count : 396,   delta_t : 6,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.00927109  2.76613951 -5.11775923]
apriltag bezier - count : 396,   delta_t : 7,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-0.0058215   2.76590776 -5.10483885]
apriltag bezier - count : 396,   delta_t : 8,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [-2.63968878e-03  2.76574826e+00 -5.09201050e+00]
apriltag bezier - count : 396,   delta_t : 9,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 5.73884812e-04  2.76561046e+00 -5.07930374e+00]
apriltag bezier - count : 396,   delta_t : 10,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 3.87361972e-03  2.76546454e+00 -5.06686783e+00]
apriltag bezier - count : 396,   delta_t : 11,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.0072605   2.7654047  -5.05458879]
apriltag bezier - count : 396,   delta_t : 12,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.00884333  2.76531363 -5.04846334]
apriltag bezier - count : 396,   delta_t : 13,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.01363486  2.76489782 -5.03042316]
apriltag bezier - count : 396,   delta_t : 14,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.01688852  2.76462293 -5.01847124]
apriltag bezier - count : 396,   delta_t : 15,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.0202279   2.76425314 -5.00641584]
apriltag bezier - count : 396,   delta_t : 16,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.02361323  2.7638669  -4.9945035 ]
apriltag bezier - count : 396,   delta_t : 17,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.02694291  2.76349187 -4.98262787]
apriltag bezier - count : 396,   delta_t : 18,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.03006076  2.76303148 -4.97089434]
apriltag bezier - count : 396,   delta_t : 19,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.03329429  2.76258898 -4.9591732 ]
apriltag bezier - count : 396,   delta_t : 20,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.03645323  2.76218915 -4.94746256]
apriltag bezier - count : 396,   delta_t : 21,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.03966502  2.76161695 -4.93564463]
apriltag bezier - count : 396,   delta_t : 22,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.04291175  2.76128268 -4.92342997]
apriltag bezier - count : 396,   delta_t : 23,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.04594629  2.76132488 -4.91105127]
apriltag bezier - count : 396,   delta_t : 24,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.04894044  2.76121306 -4.8982873 ]
apriltag bezier - count : 396,   delta_t : 25,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.05183116  2.76121449 -4.88531208]
apriltag bezier - count : 396,   delta_t : 26,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.05480808  2.76113963 -4.87212753]
apriltag bezier - count : 396,   delta_t : 27,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.05780048  2.76095462 -4.85873795]
apriltag bezier - count : 396,   delta_t : 28,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.06007763  2.76082158 -4.84520626]
apriltag bezier - count : 396,   delta_t : 29,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.06224316  2.76070428 -4.83150482]
apriltag bezier - count : 396,   delta_t : 30,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.06438991  2.76045704 -4.8175869 ]
apriltag bezier - count : 396,   delta_t : 31,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.06666233  2.76037264 -4.8035326 ]
apriltag bezier - count : 396,   delta_t : 32,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.06896248  2.76017094 -4.78924227]
apriltag bezier - count : 396,   delta_t : 33,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.07147255  2.75975013 -4.77497864]
apriltag bezier - count : 396,   delta_t : 34,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.07404408  2.75936723 -4.76059818]
apriltag bezier - count : 396,   delta_t : 35,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.07663796  2.75886226 -4.74621916]
apriltag bezier - count : 396,   delta_t : 36,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.07917708  2.75844288 -4.73174477]
apriltag bezier - count : 396,   delta_t : 37,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.08171675  2.75799108 -4.71701765]
apriltag bezier - count : 396,   delta_t : 38,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.08390254  2.75740647 -4.70247412]
apriltag bezier - count : 396,   delta_t : 39,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.08616129  2.75704336 -4.68788147]
apriltag bezier - count : 396,   delta_t : 40,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.08835959  2.75665331 -4.67316246]
apriltag bezier - count : 396,   delta_t : 41,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.08936711  2.75645208 -4.66567135]
apriltag bezier - count : 396,   delta_t : 42,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.0927239   2.75582314 -4.64300966]
apriltag bezier - count : 396,   delta_t : 43,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.09512359  2.75534201 -4.62790108]
apriltag bezier - count : 396,   delta_t : 44,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.09744488  2.75486636 -4.61248302]
apriltag bezier - count : 396,   delta_t : 45,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.09977165  2.75451422 -4.59684515]
apriltag bezier - count : 396,   delta_t : 46,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.10209686  2.75408959 -4.58113003]
apriltag bezier - count : 396,   delta_t : 47,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.10452545  2.75361848 -4.56527805]
apriltag bezier - count : 396,   delta_t : 48,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.10548091  2.75322604 -4.55727768]
apriltag bezier - count : 396,   delta_t : 49,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.10840908  2.75222397 -4.53311968]
apriltag bezier - count : 396,   delta_t : 50,   xf : [-0.08306784  3.00178146  2.73839426],   vehicle_position : [ 0.110362    2.7517817  -4.51678085]
apriltag bezier - count : 371,   delta_t : 1,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.11250351  2.75134134 -4.50023985]
apriltag bezier - count : 371,   delta_t : 2,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.1146749   2.75085878 -4.48360252]
apriltag bezier - count : 371,   delta_t : 3,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.11660441  2.7501123  -4.46724844]
apriltag bezier - count : 371,   delta_t : 4,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.11853968  2.74927735 -4.45077324]
apriltag bezier - count : 371,   delta_t : 5,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.12052397  2.74845314 -4.43423986]
apriltag bezier - count : 371,   delta_t : 6,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.12250099  2.7476697  -4.41789865]
apriltag bezier - count : 371,   delta_t : 7,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.12452134  2.74686694 -4.40186453]
apriltag bezier - count : 371,   delta_t : 8,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.12657516  2.74615073 -4.38614845]
apriltag bezier - count : 371,   delta_t : 9,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.12869042  2.74551296 -4.3707366 ]
apriltag bezier - count : 371,   delta_t : 10,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.13078514  2.74484706 -4.35555267]
apriltag bezier - count : 371,   delta_t : 11,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.13285038  2.74425673 -4.34060574]
apriltag bezier - count : 371,   delta_t : 12,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.1349889   2.74365473 -4.32579803]
apriltag bezier - count : 371,   delta_t : 13,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.13656688  2.74268246 -4.31128979]
apriltag bezier - count : 371,   delta_t : 14,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.13813794  2.74184918 -4.2966404 ]
apriltag bezier - count : 371,   delta_t : 15,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.1398472   2.74092722 -4.2819643 ]
apriltag bezier - count : 371,   delta_t : 16,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.14154948  2.74007463 -4.26735497]
apriltag bezier - count : 371,   delta_t : 17,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.14340359  2.73930907 -4.25279665]
apriltag bezier - count : 371,   delta_t : 18,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.14532113  2.73839378 -4.23842621]
apriltag bezier - count : 371,   delta_t : 19,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.14709544  2.73751569 -4.22400808]
apriltag bezier - count : 371,   delta_t : 20,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.14894953  2.73671651 -4.20948124]
apriltag bezier - count : 371,   delta_t : 21,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.15089469  2.73588967 -4.19479656]
apriltag bezier - count : 371,   delta_t : 22,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.1527756   2.73516464 -4.18027544]
apriltag bezier - count : 371,   delta_t : 23,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.15450725  2.73446703 -4.16582394]
apriltag bezier - count : 371,   delta_t : 24,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.15633284  2.73363948 -4.15132093]
apriltag bezier - count : 371,   delta_t : 25,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.15823673  2.73281789 -4.13658476]
apriltag bezier - count : 371,   delta_t : 26,   xf : [-0.14460737  3.08151269  2.91430902],   vehicle_position : [ 0.16022861  2.73206091 -4.12162924]
